Cottbus, Stadt;03046;  165,62; 100 416; 49 542; 50 874
Kaiserslautern, Stadt;67657;  139,70; 99 302; 50 008; 49 294
Gütersloh, Stadt;33330;  112,02; 98 466; 48 898; 49 568
Witten, Stadt;58452;  72,40; 96 781; 47 105; 49 676
Schwerin, Landeshauptstadt;19053;  130,52; 95 668; 46 111; 49 557
Hanau, Brüder-Grimm-Stadt;63450;  76,49; 95 370; 47 187; 48 183
Gera, Stadt;07545;  152,19; 94 750; 45 757; 48 993
Iserlohn, Stadt;58636;  125,49; 93 197; 45 618; 47 579
Ludwigsburg, Stadt;71638;  43,34; 93 035; 45 728; 47 307
Esslingen am Neckar, Stadt;73728;  46,43; 92 186; 45 838; 46 348
Zwickau, Stadt;08056;  102,58; 90 515; 44 112; 46 403
Düren, Stadt;52349;  85,00; 90 066; 44 430; 45 636
Tübingen, Universitätsstadt;72070;  108,07; 88 347; 41 944; 46 403
Flensburg, Stadt;24937;  56,74; 87 432; 43 617; 43 815
Ratingen, Stadt;40878;  88,74; 87 158; 41 726; 45 432
Gießen, Universitätsstadt;35390;  72,55; 86 543; 42 316; 44 227
Lünen, Stadt;44532;  59,39; 86 274; 42 045; 44 229
Villingen-Schwenningen, Stadt;78050;  165,50; 84 070; 41 274; 42 796
Konstanz, Universitätsstadt;78462;  54,11; 83 789; 40 262; 43 527
Marl, Stadt;45768;  87,76; 83 737; 41 190; 42 547
Worms, Stadt;67547;  108,73; 82 595; 40 542; 42 053
Dessau-Roßlau, Stadt;06844;  244,75; 82 505; 40 105; 42 400
Velbert, Stadt;42551;  74,90; 81 822; 39 905; 41 917
Minden, Stadt;32423;  101,12; 81 637; 40 087; 41 550
Neumünster, Stadt;24534;  71,63; 79 680; 39 438; 40 242
Norderstedt, Stadt;22846;  58,10; 77 996; 37 819; 40 177
Delmenhorst, Stadt;27749;  62,45; 77 045; 38 169; 38 876
Viersen, Stadt;41747;  91,10; 76 384; 36 918; 39 466
Wilhelmshaven, Stadt;26382;  107,07; 76 201; 37 511; 38 690
Bamberg;96047;  54,62; 75 743; 36 286; 39 457
Gladbeck, Stadt;45964;  35,97; 75 532; 36 763; 38 769
Rheine, Stadt;48431;  145,00; 75 338; 37 264; 38 074
Dorsten, Stadt;46284;  171,20; 75 196; 36 603; 38 593
Marburg, Universitätsstadt;35037;  123,92; 74 675; 35 645; 39 030
Troisdorf, Stadt;53840;  62,00; 74 616; 36 507; 38 109
Lüneburg, Hansestadt;21335;  70,50; 74 494; 35 901; 38 593
Castrop-Rauxel, Stadt;44575;  51,68; 74 004; 36 011; 37 993
Arnsberg, Stadt;59759;  193,72; 73 990; 36 405; 37 585
Detmold, Stadt;32756;  129,39; 73 899; 35 557; 38 342
Lüdenscheid, Stadt;58507;  87,02; 73 164; 35 905; 37 259
Bayreuth;95444;  66,89; 73 065; 35 438; 37 627
